sb_sheet	gene_id	sb_gene_call_full	sb_gene_call	sb_annotation	sb_edit_type	sb_comments	balancing_wild_only	balancing_landrace_only	balancing_improved_only	FST_breeding_improved_vs_landrace	FST_domestication_landrace_vs_wild	XPCLR_breeding_improved_vs_landrace	XPCLR_domestication_landrace_vs_wild
Sheet1	Sobic.001G028500	SbiRTX430.01G029400.1	SbiRTX430.01G029400	Vacuolar polyphosphate accumulation	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.001G259100	SbiRTX430.01G266700.2	SbiRTX430.01G266700	Xenotropic/polytropic retrovirus receptor 1-related	Germinal  null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
case_with_edits	Sobic.001G314900	SbiRTX430.01G332500.1	SbiRTX430.01G332500	Homeobox protein TF	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.001G314900	SbiRTX430.01G332500.1	SbiRTX430.01G332500	Homeobox protein TF	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.001G342400	SbiRTX430.01G359800.1	SbiRTX430.01G359800	SPX domain-containing protein 3	Germinal  null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.001G355600	SbiRTX430.01G373600.1	SbiRTX430.01G373600	bHLH DNA binding (circadian clock)	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.001G489900	SbiRTX430.01G516300.1	SbiRTX430.01G516300	Dof domain/zinc finger	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.002G016300	SbiRTX430.02G017400.1	SbiRTX430.02G017400	Myb TF	Germinal  null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.002G185300	SbiRTX430.02G191100.1	SbiRTX430.02G191100	Sugar transporter	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.002G212000	SbiRTX430.02G217200.1	SbiRTX430.02G217200	AP2/ERF binding	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.002G291066	SbiRTX430.06G202500.1	SbiRTX430.06G202500	Histone H4	Germinal  null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.002G322900	SbiRTX430.02G327400.1	SbiRTX430.02G327400	EamA-like transporter family	Germinal  null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.003G183600	SbiRTX430.03G196900.1	SbiRTX430.03G196900	Xenotropic/polytropic retrovirus receptor 1-related	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.003G197200	SbiRTX430.03G211900.1	SbiRTX430.03G211900	ACC oxidase	Germinal INDEL	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.003G350100	SbiRTX430.03G377800.1	SbiRTX430.03G377800	Histone H2B	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.004G084900	SbiRTX430.04G091400.1	SbiRTX430.04G091400	SPX domain-containing protein 1	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.004G229100	SbiRTX430.04G239200.1	SbiRTX430.04G239200	F-Box/WD-40	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.004G282900	SbiRTX430.04G298000.1	SbiRTX430.04G298000	Predicted transporter/transmembrane protein	Germinal  null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.006G173000	SbiRTX430.06G183300.1	SbiRTX430.06G183300	Glycerol-3-phosphate-transporting ATPase	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.006G202300	SbiRTX430.06G213300.1	SbiRTX430.06G213300	Homeodomain-like protein	Germinal  null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.007G045500	SbiRTX430.07G047000.6	SbiRTX430.07G047000	Glycerol-3-phosphate-transporting ATPase	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.007G124400	SbiRTX430.07G134800.1	SbiRTX430.07G134800	Sugar transporter/spinster transmembrane protein	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.007G164400	SbiRTX430.07G178400.1	SbiRTX430.07G178400	Phosphate-transporting ATPase	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.008G036900	SbiRTX430.08G039600.1	SbiRTX430.08G039600	Myb TF	Reagents intro	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.009G016633	SbiRTX430.09G017700.1	SbiRTX430.09G017700	Myb TF	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
Sheet1	Sobic.009G032400	SbiRTX430.09G033400.1	SbiRTX430.09G033400	Phosphatase 2C	Germinal null	Het	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
case_with_edits	Sobic.009G159900	SbiRTX430.09G167800.1	SbiRTX430.09G167800	POX family	Germinal null	Hom	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
